# max number of non-zeros per row
6
# column index of non-zeros (each row is Np column offsets, 1-indexed)
1 1 1 1 1 1 
2 2 2 2 2 2 
3 3 3 3 3 3 
4 4 4 4 4 4 
5 5 5 5 5 5 
6 6 6 6 6 6 
# non-zero value of Srr
1.500000000000000E+00 -1.500000000000000E+00 0.000000000000000E+00 -1.936491673103708E+00 1.936491673103708E+00 -1.110223024625157E-16 
-1.500000000000000E+00 1.500000000000000E+00 0.000000000000000E+00 1.936491673103708E+00 -1.936491673103708E+00 -1.110223024625157E-16 
-0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 
-1.936491673103708E+00 1.936491673103708E+00 0.000000000000000E+00 3.750000000000000E+00 -3.749999999999999E+00 2.220446049250313E-16 
1.936491673103708E+00 -1.936491673103708E+00 0.000000000000000E+00 -3.750000000000000E+00 3.749999999999999E+00 -2.220446049250313E-16 
-1.110223024625157E-16 -1.110223024625157E-16 0.000000000000000E+00 0.000000000000000E+00 0.000000000000000E+00 3.749999999999997E+00 
# non-zero value of Srs
3.000000000000000E+00 -1.500000000000000E+00 -1.500000000000000E+00 -3.872983346207416E+00 1.936491673103708E+00 1.936491673103708E+00 
-1.500000000000000E+00 -3.204937810639274E-16 1.500000000000000E+00 1.936491673103708E+00 2.413553455079975E-16 -1.936491673103708E+00 
-1.500000000000000E+00 1.500000000000000E+00 0.000000000000000E+00 1.936491673103708E+00 -1.936491673103708E+00 -5.551115123125783E-17 
-3.872983346207416E+00 1.936491673103708E+00 1.936491673103708E+00 3.749999999999998E+00 -3.749999999999998E+00 -3.749999999999999E+00 
1.936491673103708E+00 2.413553455079975E-16 -1.936491673103708E+00 -3.749999999999998E+00 3.749999999999998E+00 3.749999999999999E+00 
1.936491673103708E+00 -1.936491673103708E+00 -5.551115123125783E-17 -3.749999999999999E+00 3.749999999999999E+00 3.749999999999996E+00 
# non-zero value of Sss
1.500000000000000E+00 1.602468905319637E-16 -1.500000000000000E+00 -1.936491673103707E+00 -2.220446049250313E-16 1.936491673103708E+00 
1.602468905319637E-16 2.389865068768517E-32 -1.602468905319637E-16 -2.606660860909636E-16 -9.930136612989093E-17 2.606660860909636E-16 
-1.500000000000000E+00 -1.602468905319637E-16 1.500000000000000E+00 1.936491673103708E+00 1.110223024625157E-16 -1.936491673103708E+00 
-1.936491673103708E+00 -2.606660860909636E-16 1.936491673103708E+00 3.749999999999999E+00 1.860165602484405E-16 -3.749999999999998E+00 
0.000000000000000E+00 -9.930136612989090E-17 -2.220446049250313E-16 0.000000000000000E+00 3.749999999999999E+00 -2.220446049250313E-16 
1.936491673103708E+00 2.606660860909636E-16 -1.936491673103708E+00 -3.749999999999998E+00 -4.440892098500626E-16 3.749999999999997E+00 
