% degree N
3
% number of nodes
20
% node coordinates
-1.000000000000000E+00 -1.000000000000000E+00 -9.999999999999999E-01
-4.472135954999581E-01 -1.000000000000000E+00 -9.999999999999999E-01
4.472135954999578E-01 -1.000000000000000E+00 -9.999999999999999E-01
1.000000000000000E+00 -1.000000000000000E+00 -9.999999999999999E-01
-1.000000000000000E+00 -4.472135954999580E-01 -9.999999999999999E-01
-3.333333333333333E-01 -3.333333333333334E-01 -9.999999999999999E-01
4.472135954999577E-01 -4.472135954999580E-01 -9.999999999999999E-01
-1.000000000000000E+00 4.472135954999578E-01 -9.999999999999999E-01
-4.472135954999580E-01 4.472135954999578E-01 -9.999999999999999E-01
-1.000000000000000E+00 9.999999999999999E-01 -9.999999999999999E-01
-1.000000000000000E+00 -1.000000000000000E+00 -4.472135954999580E-01
-3.333333333333334E-01 -9.999999999999999E-01 -3.333333333333333E-01
4.472135954999578E-01 -1.000000000000000E+00 -4.472135954999580E-01
-1.000000000000000E+00 -3.333333333333334E-01 -3.333333333333333E-01
-3.333333333333334E-01 -3.333333333333334E-01 -3.333333333333333E-01
-1.000000000000000E+00 4.472135954999578E-01 -4.472135954999579E-01
-1.000000000000000E+00 -9.999999999999999E-01 4.472135954999577E-01
-4.472135954999580E-01 -9.999999999999999E-01 4.472135954999579E-01
-1.000000000000000E+00 -4.472135954999580E-01 4.472135954999580E-01
-1.000000000000000E+00 -1.000000000000000E+00 1.000000000000000E+00
% r collocation differentation matrix
-3.000000000000000E+00 4.045084971874736E+00 -1.545084971874735E+00 4.999999999999992E-01 1.838215352709920E-16 -5.258166437090985E-16 3.260324814256060E-16 1.600917716063757E-16 -8.570507307064177E-17 -1.947469050774435E-17 4.841350148922473E-16 -9.572852826104621E-16 4.440892098500627E-16 -2.805586219279311E-17 2.805586219279366E-17 -6.128892696964588E-32 1.591247070336009E-17 1.195136185659540E-16 -1.009947719166008E-31 -3.545501046705416E-17 
-8.090169943749476E-01 4.350517249378878E-16 1.118033988749894E+00 -3.090169943749473E-01 5.604061429525392E-17 -1.512321216102671E-16 9.060043554416710E-17 -1.917666899930293E-17 4.057130983795649E-17 -5.601189689269159E-18 -5.490443629602910E-17 5.662339703621028E-17 2.011733791644035E-32 -6.540502011454470E-17 6.540502011454466E-17 -1.605568276758456E-34 3.180178624447246E-18 -1.119062792420735E-17 4.385544351659711E-33 2.097162853192973E-18 
3.090169943749473E-01 -1.118033988749895E+00 7.170908686297165E-17 8.090169943749473E-01 -4.087059851407277E-18 4.875541833871224E-17 -4.318825212876630E-17 -3.004111224262799E-17 2.314373717978796E-17 1.805756234767109E-18 -3.982552952089088E-17 1.555706106587553E-16 -1.110223024625157E-16 5.206497809810941E-17 -5.206497809810949E-17 1.109799185997717E-32 -4.081601729918470E-17 1.880761521730772E-17 1.103539850217699E-32 5.761874468842755E-18 
-4.999999999999993E-01 1.545084971874736E+00 -4.045084971874735E+00 2.999999999999999E+00 -7.606592790072660E-16 1.592152875203918E-15 -7.831593663889288E-16 1.761617168167798E-17 -2.428562765120582E-16 5.896862500755244E-17 -1.220725289075596E-16 5.838872609043177E-16 -4.440892098500629E-16 2.346150391274798E-16 -2.346150391274801E-16 3.868218815962512E-32 -1.758298140193127E-16 9.322792954991572E-17 5.850356366974225E-32 2.162545410756730E-17 
-7.090169943749477E-01 1.618033988749894E+00 -1.309016994374947E+00 5.999999999999999E-01 -1.999999999999999E+00 2.699999999999999E+00 -6.180339887498949E-01 -1.909830056250522E-01 -1.909830056250529E-01 9.999999999999989E-02 1.106382406356571E-18 1.417759682188631E-16 -1.372311128622117E-16 -5.063788726177667E-17 9.309104131357756E-17 -4.251160429309248E-17 -5.936857899170044E-17 -2.005455368555349E-18 3.531134436402118E-17 6.823300824839389E-18 
3.333333333333335E-01 -6.211299937499418E-01 6.211299937499417E-01 -3.333333333333334E-01 -7.272316635416368E-01 -1.378019769195409E-15 7.272316635416382E-01 -1.061016697916957E-01 1.061016697916959E-01 -4.550431924416202E-17 9.793791514367901E-17 -1.530394173624395E-16 5.045556495756068E-17 -2.393685307858556E-16 2.393685307858556E-16 2.447617695654994E-32 -3.226870738805827E-17 5.391902435619575E-17 -3.673938650573071E-32 -5.668126568979240E-18 
-6.000000000000001E-01 1.309016994374946E+00 -1.618033988749893E+00 7.090169943749466E-01 6.180339887498936E-01 -2.699999999999998E+00 2.000000000000000E+00 1.909830056250523E-01 1.909830056250527E-01 -9.999999999999985E-02 4.658629412396835E-16 -9.398305560086719E-16 4.440892098500625E-16 -1.104330584264526E-16 6.797990437465220E-17 4.251160429309242E-17 -8.469439756213373E-17 2.589683310549525E-16 -3.531134436402127E-17 -3.638087815038783E-17 
4.090169943749477E-01 -1.909830056250525E-01 -6.180339887498943E-01 5.999999999999998E-01 -1.309016994374946E+00 2.699999999999998E+00 -1.309016994374947E+00 -2.000000000000000E+00 1.618033988749895E+00 9.999999999999983E-02 1.656291052946312E-17 2.840681640429101E-16 -2.906601613561370E-16 -1.060641757080013E-16 1.485173297598021E-16 -4.251160429309245E-17 3.962639974755390E-17 -1.211303535414875E-16 3.531134436402120E-17 1.209338215165595E-17 
-6.000000000000005E-01 6.180339887498946E-01 1.909830056250524E-01 -4.090169943749473E-01 1.309016994374946E+00 -2.699999999999998E+00 1.309016994374947E+00 -1.618033988749895E+00 2.000000000000000E+00 -9.999999999999996E-02 3.552182601251363E-16 -6.674891452375567E-16 2.906601613561370E-16 -2.833293450853314E-16 2.408761910335308E-16 4.251160429309246E-17 4.209884146903870E-17 9.364725410879150E-17 -3.531134436402124E-17 -2.629415923293917E-17 
-4.999999999999997E-01 2.823218249084821E-16 -1.108806205655655E-16 4.999999999999997E-01 1.545084971874737E+00 -3.145323615270345E-18 -1.545084971874737E+00 -4.045084971874738E+00 4.045084971874738E+00 -8.341577546126680E-17 -8.663624425246017E-17 4.431676121422615E-16 -3.430777821555290E-16 1.429934704492660E-17 -1.429934704492686E-17 6.275354464430861E-32 1.489550625604615E-16 -2.116494940883183E-16 4.568138370826450E-32 1.641361526452822E-17 
-7.090169943749480E-01 1.618033988749895E+00 -1.309016994374946E+00 5.999999999999991E-01 2.234633761508207E-16 -1.047530023665175E-15 3.487297864293771E-17 3.491588219533775E-16 3.315204003993421E-16 -2.595645553168318E-16 -1.999999999999999E+00 2.699999999999999E+00 -6.180339887498940E-01 -1.134783904366753E-15 -4.605790753547898E-16 1.846195418240256E-16 -1.909830056250523E-01 -1.909830056250528E-01 2.724281793857479E-16 9.999999999999988E-02 
3.333333333333338E-01 -6.211299937499418E-01 6.211299937499415E-01 -3.333333333333333E-01 -9.375114333267032E-17 -9.731937067177097E-17 1.086422413768034E-16 1.081629846422566E-16 -7.506133522166703E-17 -8.504154367306004E-18 -7.272316635416375E-01 3.522380161158317E-16 7.272316635416373E-01 -2.278508415886978E-16 1.601759068139435E-16 -6.802394738407029E-18 -1.061016697916960E-01 1.061016697916959E-01 1.576977132350557E-17 -1.025517035156072E-17 
