 2  3  1000000  8000000 5.995031e-04 1.334439e+10 3.458160e-06 5.738086e+02 5.767261e+02 9.274348e+02 7.606300e+02 1 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 2  3  1000000  8000000 5.830383e-04 1.372123e+10 3.185280e-06 5.900127e+02 5.796739e+02 9.536253e+02 7.821100e+02 2 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 2  3  1000000  8000000 5.788954e-04 1.381942e+10 3.173760e-06 5.942352e+02 5.771846e+02 9.604499e+02 7.877071e+02 3 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 2  3  1000000  8000000 5.853281e-04 1.366755e+10 3.276880e-06 5.877046e+02 5.752034e+02 9.498946e+02 7.790502e+02 4 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 2  3  1000000  8000000 5.801757e-04 1.378893e+10 3.178000e-06 5.929238e+02 5.781195e+02 9.583304e+02 7.859687e+02 5 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 2  3  1000000  8000000 5.785364e-04 1.382800e+10 3.498080e-06 5.946039e+02 5.816239e+02 9.610459e+02 7.881960e+02 6 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 3  4   296296  7999992 4.746462e-04 1.685464e+10 3.464560e-06 5.892883e+02 5.811685e+02 1.148613e+03 1.108661e+03 1 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 3  4   296296  7999992 4.677919e-04 1.710160e+10 3.212160e-06 5.979227e+02 5.812060e+02 1.165443e+03 1.124906e+03 2 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 3  4   296296  7999992 4.713068e-04 1.697406e+10 3.480480e-06 5.934635e+02 5.794384e+02 1.156751e+03 1.116516e+03 3 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 3  4   296296  7999992 4.879148e-04 1.639629e+10 3.271040e-06 5.732629e+02 5.657965e+02 1.117377e+03 1.078511e+03 4 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
 3  4   296296  7999992 4.785992e-04 1.671543e+10 3.267600e-06 5.844210e+02 5.755465e+02 1.139126e+03 1.099504e+03 5 %% [MassMatrixMultiply: NUM_DOFS_1D, NUM_QUAD_1D, numElements, Ndofs, elapsed, dofsPerSecond, nothingElapsed, BW in GB/s, estimated peak Device BW, est. GFLOPS/s, oddeven GFLOPS/s, mode]
